Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.82     0.00  2249119     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<main::{lambda(main::Query, main::Query)#2}>::operator()<__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::__cxx1998::vector> >, std::__debug::vector<main::Query, std::__cxx1998::vector> >(__gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::__cxx1998::vector> >, std::__debug::vector<main::Query, std::__cxx1998::vector>)
  0.00      0.82     0.00  1546977     0.00     0.00  __gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >::operator--()
  0.00      0.82     0.00  1544552     0.00     0.00  __gnu_cxx::__normal_iterator<main::Query const*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >::base() const
  0.00      0.82     0.00  1532926     0.00     0.00  __gnu_cxx::__normal_iterator<long long*, std::__cxx1998::vector<long long, std::allocator<long long> > >::base() const
  0.00      0.82     0.00  1421405     0.00     0.00  std::__cxx1998::vector<main::Query, std::allocator<main::Query> >::begin()
  0.00      0.82     0.00  1421405     0.00     0.00  std::__cxx1998::vector<int, std::allocator<int> >::begin()
  0.00      0.82     0.00  1407621     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >::operator--()
  0.00      0.82     0.00  1407621     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >::operator--()
  0.00      0.82     0.00  1407621     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >::operator--()
  0.00      0.82     0.00  1407621     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >::_M_is_begin() const
